Instruction, , , , , , , , , , Result, Operator, (, Operand, ), Actual Value(s),,,,,,,,,,,
, , CONTINUE, , , , , , , , , +, , SmartCameraFactor, ,0,,,,,,,,,,,
, , CONTINUE, , , , , , , , , +, , SmartSmokeAlarmFactor, ,0,,,,,,,,,,,
, , CONTINUE, , , , , , , , , +, , SmartLightFactor, ,0,,,,,,,,,,,
, , CONTINUE, , , , , , , , , +, , AutTempDetFactor, ,0,,,,,,,,,,,
, , CONTINUE, , , , , , , , , +, , GeneratorFactor, ,0,,,,,,,,,,,
, , CONTINUE, , , , , , , , , +, , WaterLeakgDetFactor, ,0,,,,,,,,,,,
, , CONTINUE, , , , , , , , , +, , GasLeakgDetFactor, ,0,,,,,,,,,,,
, , CONTINUE, , , , , , , , , +, , ADFactor, ,0,,,,,,,,,,,
, , CONTINUE, , , , , , , , , +, , CFactor, ,0,,,,,,,,,,,
, , CONTINUE, , , , , , , , , +, , CRFactor, ,0,,,,,,,,,,,
, FinalFactor, , , , , , , , ,1, ?, ,1, ,1,,,,,,,,,,,
, , CONTINUE, , , , , , , , , ?, ," ""min(AllDiscount"," MaxCreditPerPeril)""", ," ""min(0"," 0.2) = 0""",,,,,,,,,
, BaseRate, , , , , , , , , 75.63816199658545413509120000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000, ?, , table:BaseRate.Other, ," ""(1"," Cov A) = 105.94""",,,,,,,,,,
, , CONTINUE, , , , , , , , , ×, , ContentOnlyFactor, ,1,,,,,,,,,,,
, , CONTINUE, , , , , , , , , ×, , table:Territory Relativities.Other, ," ""(1", Cov A," 46063) = 1.1""",,,,,,,,,
, , CONTINUE, , , , , , , , , ×, , table:Wind Hail Exclusion.Other, , (false) = 1,,,,,,,,,,,
, , CONTINUE, , , , , , , , , ×, , table:Distance To Coast.Other, ," ""(46063", <<999.990,"999.990>>) = 1""",,,,,,,,,
, , CONTINUE, , , , , , , , , ×, , AcreageFactor, ,1,,,,,,,,,,,
, , CONTINUE, , , , , , , , , ×, , table:Farm_Type.Other, ," ""(1", Crops," Cov A) = 1""",,,,,,,,,
, , CONTINUE, , , , , , , , , ×, , table:Credit.Other, ," ""(1", <<731,731>>," Cov A) = 0.992""",,,,,,,,
, , CONTINUE, , , , , , , , , ×, , table:Protection Class.Other, ," ""(1",10," Cov A) = 1""",,,,,,,,,
, , CONTINUE, , , , , , , , , ×, , table:Miles To Fire Department.Other, ," ""(1", Over10Miles," Cov A) = 1""",,,,,,,,,
, , CONTINUE, , , , , , , , , ×, , table:Construction Materials for All.Other, ," ""(1", Cov A," Frame-MV) = 1""",,,,,,,,,
, , CONTINUE, , , , , , , , , ×, , table:Farming Claims Factor.Other, ," ""(1", <<1000,1000>>, Cov A,0,0,0,0,0,0,0," 0) = 1"""
, , CONTINUE, , , , , , , , , ×, , RateFactor, ,1,,,,,,,,,,,
, , CONTINUE, , , , , , , , , ×, , table:Dwelling_Age.Other, ," ""(1", false, <<9,"9>>) = 0.908""",,,,,,,,
, , CONTINUE, , , , , , , , , ×, , table:Dwelling Year Built Factor.Other, ," ""(1", false,1, <<2010,"2010>>) = 1""",,,,,,,
, , CONTINUE, , , , , , , , , ×, , table:AoR.Other, ," ""(1", Cov A,1, Metal, <<8,8>>, false," false) = 0.817""",,,,
, , CONTINUE, , , , , , , , , ×, , table:RoofShape.Other, ," ""(1", GableSteepPitch," false) = 1""",,,,,,,,,
, , CONTINUE, , , , , , , , , ×, , table:RoofExclusion.Other, ," ""(1", Cov A," false) = 1""",,,,,,,,,
, , CONTINUE, , , , , , , , , ×, , table:Utility.Other, ," ""(1", null, <<9,9>>, <<9,"9>>) = 1""",,,,,,
, , CONTINUE, , , , , , , , , ×, , table:MultipolicyDiscount.Other, ," ""(1", false, false, false, false, false," false) = 1""",,,,,
, , CONTINUE, , , , , , , , , ×, , table:Fortified.Other, ," ""(1"," None) = 1""",,,,,,,,,,
, , CONTINUE, , , , , , , , , ×, , FinalFactor, ,1,,,,,,,,,,,
, , CONTINUE, , , , , , , , , ×, , PolicySizeFactor, ,0.8900104,,,,,,,,,,,
, , CONTINUE, , , , , , , , , ×, , CoverageInfo.CovModLimit, ,1,,,,,,,,,,,
, , CONTINUE, , , , , , , , , ×, , table:Brushfire.Other, ," ""(1", <<0,"0>>) = 1""",,,,,,,,,
, , CONTINUE, , , , , , , , , ×, , table:SolidFuel.Other, ," ""(1", Cov A, false, false, false," false) = 1""",,,,,,
, , CONTINUE, , , , , , , , , ×, , table:FoundationType.Other, ," ""(1"," FullBasement) = 1""",,,,,,,,,,
, , CONTINUE, , , , , , , , , ×, , table:ACVRoof.Other, ," ""(1", false, Cov A, <<8,"8>>) = 1""",,,,,,,
, , CONTINUE, , , , , , , , , ×, , table:All Perils Deductible.Other, ," ""(1", Cov A,1000, <<220718,"220718>>) = 0.991""",,,,,,,
, , CONTINUE, , , , , , , , , ×, , table:WHDeductible.Other, ," ""(1", false, Cov A,1000, <<220718,220718>>," 1) = 1""",,,,,
, , CONTINUE, , , , , , , , , ×, , table:Occupancy.Other, , (Primary) = 1,,,,,,,,,,,
, , CONTINUE, , , , , , , , , ×, , table:EmployeeDiscount, ," ""(false"," 1) = 1""",,,,,,,,,,
, BaseRate, , , , , , , , ,75.6382, ?, , CostData.BaseRate, ,75.6382,,,,,,,,,,,
, , CONTINUE, , , , , , , , , +, , table:Fixed Expense.Other, ," ""(1"," Cov A) = 0""",,,,,,,,,,
, AdjustedRate, , , , , , , , ,75.6382, ?, , CostData.BaseRate, ,75.6382,,,,,,,,,,,
, TermAmount, , , , , , , , ,75.64, ?, , CostData.BaseRate, ,75.6382,,,,,,,,,,,
, , CONTINUE, , , , , , , , , R, ,0.01, ,75.64,,,,,,,,,,,
Coverage A - Dwelling - Hurricane, , , , , , , , , , , , , , , ,,,,,,,,,,,
, FRM_RB_INDIANA (1), , , , , , , , , , , , , , ,,,,,,,,,,,
, Coverage_Hurricane (1), , , , , , , , , , , , , , ,,,,,,,,,,,
, PolicySizeFactor, , , , , , , , ,1, ?, ,1, ,1,,,,,,,,,,,
, ContentOnlyFactor, , , , , , , , ,1, ?, ,1, ,1,,,,,,,,,,,
, RateFactor, , , , , , , , ,1, ?, ,1, ,1,,,,,,,,,,,
, AcreageFactor, , , , , , , , ,1, ?, ,1, ,1,,,,,,,,,,,
, AcreageFactor, , , , , , , , ,1, ?, , table:Acreage.Hurricane, ," ""(1", <<57,57>>," Cov A) = 1""",,,,,,,,
, RateFactor, , , , , , , , ,1, ?, , table:Number Of Families.Hurricane, ," ""(1"," 1) = 1""",,,,,,,,,,
, , CONTINUE, , , , , , , , , ×, , table:TownRowHouse.Hurricane, ," ""(1"," 1) = 1""",,,,,,,,,,
, , CONTINUE, , , , , , , , , ×, , table:Pool.Hurricane, ," ""(1", false," false) = 1""",,,,,,,,,
, , CONTINUE, , , , , , , , , ×, , table:Trampoline.Hurricane, ," ""(1"," false) = 1""",,,,,,,,,,
, PolicySizeFactor, , , , , , , , ,0.9352924, ?, , table:PolicySizeRelativity.Hurricane, ," ""(1",220718," Cov A) = 0.9352924""",,,,,,,,,
, ContentOnlyFactor, , , , , , , , ,1, ?, , table:Sq Feet Stories.Hurricane, ," ""(<<1500",1500>>, Cov A," 2) = 1""",,,,,,,,
, , CONTINUE, , , , , , , , , ×, , table:Repl Cost Sq Ft.Hurricane, ," ""(<<147","147>>) = 1""",,,,,,,,,,
, , CONTINUE, , , , , , , , , ×, , table:Bathrooms.Hurricane, ," ""(1"," 1) = 1""",,,,,,,,,,
, , CONTINUE, , , , , , , , , ×, , table:Garage Factor.Hurricane, , (Attached-1) = 1,,,,,,,,,,,
, , CONTINUE, , , , , , , , , ×, , table:Perils.Hurricane, ," ""(1", Special," Cov A) = 1""",,,,,,,,,
, , CONTINUE, , , , , , , , , ×, , table:Utility.Hurricane, ," ""(1", Heating, <<9,9>>, <<9,"9>>) = 1""",,,,,,
, , CONTINUE, , , , , , , , , ×, , table:Utility.Hurricane, ," ""(1", Electrical, <<9,9>>, <<9,"9>>) = 1""",,,,,,
, , CONTINUE, , , , , , , , , ×, , table:Utility.Hurricane, ," ""(1", Plumbing, <<9,9>>, <<9,"9>>) = 1""",,,,,,
, , CONTINUE, , , , , , , , , ×, , table:Wind Mitigation.Hurricane, ," ""(GableSteepPitch", null, <<2010,2010>>," Madison) = 1""",,,,,,,
, WindMitigationFactor, , , , , , , , ,1, ?, , table:Wind Mitigation.Hurricane, ," ""(GableSteepPitch", null, <<2010,2010>>," Madison) = 1""",,,,,,,
, IFactor, , , , , , , , ,0, ?, ,0, ,0,,,,,,,,,,,
, JFactor, , , , , , , , ,0, ?, ,0, ,0,,,,,,,,,,,
, KFactor, , , , , , , , ,0, ?, ,0, ,0,,,,,,,,,,,
, MFactor, , , , , , , , ,0, ?, ,0, ,0,,,,,,,,,,,
, NFactor, , , , , , , , ,0, ?, ,0, ,0,,,,,,,,,,,
, OFactor, , , , , , , , ,0, ?, ,0, ,0,,,,,,,,,,,
, QFactor, , , , , , , , ,0, ?, ,0, ,0,,,,,,,,,,,
, SmartCameraFactor, , , , , , , , ,0, ?, ,0, ,0,,,,,,,,,,,
, SmartLightFactor, , , , , , , , ,0, ?, ,0, ,0,,,,,,,,,,,
, SmartSmokeAlarmFactor, , , , , , , , ,0, ?, ,0, ,0,,,,,,,,,,,
, WaterLeakgDetFactor, , , , , , , , ,0, ?, ,0, ,0,,,,,,,,,,,
, GasLeakgDetFactor, , , , , , , , ,0, ?, ,0, ,0,,,,,,,,,,,
, GeneratorFactor, , , , , , , , ,0, ?, ,0, ,0,,,,,,,,,,,
, AutTempDetFactor, , , , , , , , ,0, ?, ,0, ,0,,,,,,,,,,,
, ADFactor, , , , , , , , ,0, ?, ,0, ,0,,,,,,,,,,,
, CFactor, , , , , , , , ,0, ?, ,0, ,0,,,,,,,,,,,
, CRFactor, , , , , , , , ,0, ?, ,0, ,0,,,,,,,,,,,
, MaxCreditPerPeril, , , , , , , , ,0.2, ?, , table:ProtectiveDevices.Hurricane, ," ""(1", Max," Cov A) = 0.2""",,,,,,,,,
, AllDiscount, , , , , , , , ,0, ?, , IFactor, ,0,,,,,,,,,,,
, , CONTINUE, , , , , , , , , +, , JFactor, ,0,,,,,,,,,,,
, , CONTINUE, , , , , , , , , +, , KFactor, ,0,,,,,,,,,,,
, , CONTINUE, , , , , , , , , +, , MFactor, ,0,,,,,,,,,,,
, , CONTINUE, , , , , , , , , +, , NFactor, ,0,,,,,,,,,,,
, , CONTINUE, , , , , , , , , +, , OFactor, ,0,,,,,,,,,,,
, , CONTINUE, , , , , , , , , +, , QFactor, ,0,,,,,,,,,,,
, , CONTINUE, , , , , , , , , +, , SmartCameraFactor, ,0,,,,,,,,,,,
, , CONTINUE, , , , , , , , , +, , SmartSmokeAlarmFactor, ,0,,,,,,,,,,,
, , CONTINUE, , , , , , , , , +, , SmartLightFactor, ,0,,,,,,,,,,,
, , CONTINUE, , , , , , , , , +, , AutTempDetFactor, ,0,,,,,,,,,,,
, , CONTINUE, , , , , , , , , +, , GeneratorFactor, ,0,,,,,,,,,,,
, , CONTINUE, , , , , , , , , +, , WaterLeakgDetFactor, ,0,,,,,,,,,,,
, , CONTINUE, , , , , , , , , +, , GasLeakgDetFactor, ,0,,,,,,,,,,,
, , CONTINUE, , , , , , , , , +, , ADFactor, ,0,,,,,,,,,,,
, , CONTINUE, , , , , , , , , +, , CFactor, ,0,,,,,,,,,,,
, , CONTINUE, , , , , , , , , +, , CRFactor, ,0,,,,,,,,,,,
, FinalFactor, , , , , , , , ,1, ?, ,1, ,1,,,,,,,,,,,
, , CONTINUE, , , , , , , , , ?, ," ""min(AllDiscount"," MaxCreditPerPeril)""", ," ""min(0"," 0.2) = 0""",,,,,,,,,
, BaseRate, , , , , , , , , 6.53012636779702666880197478400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000, ?, , table:BaseRate.Hurricane, ," ""(1"," Cov A) = 8.39""",,,,,,,,,,
, , CONTINUE, , , , , , , , , ×, , ContentOnlyFactor, ,1,,,,,,,,,,,
, , CONTINUE, , , , , , , , , ×, , table:Territory Relativities.Hurricane, ," ""(1", Cov A," 46063) = 1.502""",,,,,,,,,
, , CONTINUE, , , , , , , , , ×, , table:Wind Hail Exclusion.Hurricane, , (false) = 1,,,,,,,,,,,
, , CONTINUE, , , , , , , , , ×, , table:Distance To Coast.Hurricane, ," ""(46063", <<999.990,"999.990>>) = 1""",,,,,,,,,
, , CONTINUE, , , , , , , , , ×, , AcreageFactor, ,1,,,,,,,,,,,
, , CONTINUE, , , , , , , , , ×, , table:Farm_Type.Hurricane, ," ""(1", Crops," Cov A) = 1""",,,,,,,,,
, , CONTINUE, , , , , , , , , ×, , table:Credit.Hurricane, ," ""(1", <<731,731>>," Cov A) = 0.993""",,,,,,,,
, , CONTINUE, , , , , , , , , ×, , table:Protection Class.Hurricane, ," ""(1",10," Cov A) = 1""",,,,,,,,,
, , CONTINUE, , , , , , , , , ×, , table:Miles To Fire Department.Hurricane, ," ""(1", Over10Miles," Cov A) = 1""",,,,,,,,,
, , CONTINUE, , , , , , , , , ×, , table:Construction Materials for All.Hurricane, ," ""(1", Cov A," Frame-MV) = 1""",,,,,,,,,
, , CONTINUE, , , , , , , , , ×, , table:Farming Claims Factor.Hurricane, ," ""(1", <<1000,1000>>, Cov A,0,0,0,0,0,0,0," 0) = 1"""
, , CONTINUE, , , , , , , , , ×, , RateFactor, ,1,,,,,,,,,,,
, , CONTINUE, , , , , , , , , ×, , table:Dwelling_Age.Hurricane, ," ""(1", false, <<9,"9>>) = 1""",,,,,,,,
, , CONTINUE, , , , , , , , , ×, , table:Dwelling Year Built Factor.Hurricane, ," ""(1", false,1, <<2010,"2010>>) = 0.623""",,,,,,,
, , CONTINUE, , , , , , , , , ×, , table:AoR.Hurricane, ," ""(1", Cov A,1, Metal, <<8,8>>, false," false) = 0.928""",,,,
, , CONTINUE, , , , , , , , , ×, , table:RoofShape.Hurricane, ," ""(1", GableSteepPitch," false) = 0.967""",,,,,,,,,
, , CONTINUE, , , , , , , , , ×, , table:RoofExclusion.Hurricane, ," ""(1", Cov A," false) = 1""",,,,,,,,,
, , CONTINUE, , , , , , , , , ×, , table:Utility.Hurricane, ," ""(1", null, <<9,9>>, <<9,"9>>) = 1""",,,,,,
, , CONTINUE, , , , , , , , , ×, , table:MultipolicyDiscount.Hurricane, ," ""(1", false, false, false, false, false," false) = 1""",,,,,
, , CONTINUE, , , , , , , , , ×, , table:Fortified.Hurricane, ," ""(1"," None) = 1""",,,,,,,,,,
, , CONTINUE, , , , , , , , , ×, , FinalFactor, ,1,,,,,,,,,,,
, , CONTINUE, , , , , , , , , ×, , PolicySizeFactor, ,0.9352924,,,,,,,,,,,
, , CONTINUE, , , , , , , , , ×, , CoverageInfo.CovModLimit, ,1,,,,,,,,,,,
, , CONTINUE, , , , , , , , , ×, , table:Brushfire.Hurricane, ," ""(1", <<0,"0>>) = 1""",,,,,,,,,
, , CONTINUE, , , , , , , , , ×, , table:SolidFuel.Hurricane, ," ""(1", Cov A, false, false, false," false) = 1""",,,,,,
, , CONTINUE, , , , , , , , , ×, , table:FoundationType.Hurricane, ," ""(1"," FullBasement) = 1""",,,,,,,,,,
, , CONTINUE, , , , , , , , , ×, , table:ACVRoof.Hurricane, ," ""(1", false, Cov A, <<8,"8>>) = 1""",,,,,,,
, , CONTINUE, , , , , , , , , ×, , table:All Perils Deductible.Hurricane, ," ""(1", Cov A,1000, <<220718,"220718>>) = 1""",,,,,,,
, , CONTINUE, , , , , , , , , ×, , table:WHDeductible.Hurricane, ," ""(1", false, Cov A,1000, <<220718,220718>>," 1) = 0.998""",,,,,
, , CONTINUE, , , , , , , , , ×, , table:Occupancy.Hurricane, , (Primary) = 1,,,,,,,,,,,
, , CONTINUE, , , , , , , , , ×, , table:EmployeeDiscount, ," ""(false"," 1) = 1""",,,,,,,,,,
, BaseRate, , , , , , , , ,6.5301, ?, , CostData.BaseRate, ,6.5301,,,,,,,,,,,
, , CONTINUE, , , , , , , , , +, , table:Fixed Expense.Hurricane, ," ""(1"," Cov A) = 0""",,,,,,,,,,
, AdjustedRate, , , , , , , , ,6.5301, ?, , CostData.BaseRate, ,6.5301,,,,,,,,,,,
, TermAmount, , , , , , , , ,6.53, ?, , CostData.BaseRate, ,6.5301,,,,,,,,,,,
, , CONTINUE, , , , , , , , , R, ,0.01, ,6.53,,,,,,,,,,,
Coverage A - Dwelling - Fire, , , , , , , , , , , , , , , ,,,,,,,,,,,
, FRM_RB_INDIANA (1), , , , , , , , , , , , , , ,,,,,,,,,,,
, Coverage_Fire (1), , , , , , , , , , , , , , ,,,,,,,,,,,
, PolicySizeFactor, , , , , , , , ,1, ?, ,1, ,1,,,,,,,,,,,
, ContentOnlyFactor, , , , , , , , ,1, ?, ,1, ,1,,,,,,,,,,,
, RateFactor, , , , , , , , ,1, ?, ,1, ,1,,,,,,,,,,,
, AcreageFactor, , , , , , , , ,1, ?, ,1, ,1,,,,,,,,,,,
, AcreageFactor, , , , , , , , ,1, ?, , table:Acreage.Fire, ," ""(1", <<57,57>>," Cov A) = 1""",,,,,,,,
, RateFactor, , , , , , , , ,1, ?, , table:Number Of Families.Fire, ," ""(1"," 1) = 1""",,,,,,,,,,
, , CONTINUE, , , , , , , , , ×, , table:TownRowHouse.Fire, ," ""(1"," 1) = 1""",,,,,,,,,,
, , CONTINUE, , , , , , , , , ×, , table:Pool.Fire, ," ""(1", false," false) = 1""",,,,,,,,,
, , CONTINUE, , , , , , , , , ×, , table:Trampoline.Fire, ," ""(1"," false) = 1""",,,,,,,,,,
, PolicySizeFactor, , , , , , , , ,0.8495848, ?, , table:PolicySizeRelativity.Fire, ," ""(1",220718," Cov A) = 0.8495848""",,,,,,,,,
, ContentOnlyFactor, , , , , , , , ,1.03474665, ?, , table:Sq Feet Stories.Fire, ," ""(<<1500",1500>>, Cov A," 2) = 1.017""",,,,,,,,
, , CONTINUE, , , , , , , , , ×, , table:Repl Cost Sq Ft.Fire, ," ""(<<147","147>>) = 1.05""",,,,,,,,,,
, , CONTINUE, , , , , , , , , ×, , table:Bathrooms.Fire, ," ""(1"," 1) = 0.969""",,,,,,,,,,
, , CONTINUE, , , , , , , , , ×, , table:Garage Factor.Fire, , (Attached-1) = 1,,,,,,,,,,,
, , CONTINUE, , , , , , , , , ×, , table:Perils.Fire, ," ""(1", Special," Cov A) = 1""",,,,,,,,,
, , CONTINUE, , , , , , , , , ×, , table:Utility.Fire, ," ""(1", Heating, <<9,9>>, <<9,"9>>) = 1""",,,,,,
, , CONTINUE, , , , , , , , , ×, , table:Utility.Fire, ," ""(1", Plumbing, <<9,9>>, <<9,"9>>) = 1""",,,,,,
, , CONTINUE, , , , , , , , , ×, , table:Utility.Fire, ," ""(1", Electrical, <<9,9>>, <<9,"9>>) = 1""",,,,,,
, , CONTINUE, , , , , , , , , ×, , table:Wind Mitigation.Fire, ," ""(GableSteepPitch", null, <<2010,2010>>," Madison) = 1""",,,,,,,
, IFactor, , , , , , , , ,0, ?, ,0, ,0,,,,,,,,,,,
, JFactor, , , , , , , , ,0, ?, ,0, ,0,,,,,,,,,,,
, KFactor, , , , , , , , ,0, ?, ,0, ,0,,,,,,,,,,,
, MFactor, , , , , , , , ,0, ?, ,0, ,0,,,,,,,,,,,
, NFactor, , , , , , , , ,0, ?, ,0, ,0,,,,,,,,,,,
, OFactor, , , , , , , , ,0, ?, ,0, ,0,,,,,,,,,,,
, QFactor, , , , , , , , ,0, ?, ,0, ,0,,,,,,,,,,,
, SmartCameraFactor, , , , , , , , ,0, ?, ,0, ,0,,,,,,,,,,,
, SmartLightFactor, , , , , , , , ,0, ?, ,0, ,0,,,,,,,,,,,
, SmartSmokeAlarmFactor, , , , , , , , ,0, ?, ,0, ,0,,,,,,,,,,,
, WaterLeakgDetFactor, , , , , , , , ,0, ?, ,0, ,0,,,,,,,,,,,
, GasLeakgDetFactor, , , , , , , , ,0, ?, ,0, ,0,,,,,,,,,,,
, GeneratorFactor, , , , , , , , ,0, ?, ,0, ,0,,,,,,,,,,,
, ADFactor, , , , , , , , ,0, ?, ,0, ,0,,,,,,,,,,,
, AutTempDetFactor, , , , , , , , ,0, ?, ,0, ,0,,,,,,,,,,,
, CFactor, , , , , , , , ,0, ?, ,0, ,0,,,,,,,,,,,
, CRFactor, , , , , , , , ,0, ?, ,0, ,0,,,,,,,,,,,
, MaxCreditPerPeril, , , , , , , , ,0.2, ?, , table:ProtectiveDevices.Fire, ," ""(1", Max," Cov A) = 0.2""",,,,,,,,,
, AllDiscount, , , , , , , , ,0, ?, , IFactor, ,0,,,,,,,,,,,
, , CONTINUE, , , , , , , , , +, , JFactor, ,0,,,,,,,,,,,
, , CONTINUE, , , , , , , , , +, , KFactor, ,0,,,,,,,,,,,
, , CONTINUE, , , , , , , , , +, , MFactor, ,0,,,,,,,,,,,
, , CONTINUE, , , , , , , , , +, , NFactor, ,0,,,,,,,,,,,
, , CONTINUE, , , , , , , , , +, , OFactor, ,0,,,,,,,,,,,
, , CONTINUE, , , , , , , , , +, , QFactor, ,0,,,,,,,,,,,
, , CONTINUE, , , , , , , , , +, , SmartCameraFactor, ,0,,,,,,,,,,,
, , CONTINUE, , , , , , , , , +, , SmartSmokeAlarmFactor, ,0,,,,,,,,,,,
, , CONTINUE, , , , , , , , , +, , SmartLightFactor, ,0,,,,,,,,,,,
, , CONTINUE, , , , , , , , , +, , AutTempDetFactor, ,0,,,,,,,,,,,
, , CONTINUE, , , , , , , , , +, , GeneratorFactor, ,0,,,,,,,,,,,
, , CONTINUE, , , , , , , , , +, , WaterLeakgDetFactor, ,0,,,,,,,,,,,
, , CONTINUE, , , , , , , , , +, , GasLeakgDetFactor, ,0,,,,,,,,,,,
, , CONTINUE, , , , , , , , , +, , ADFactor, ,0,,,,,,,,,,,
, , CONTINUE, , , , , , , , , +, , CFactor, ,0,,,,,,,,,,,
, , CONTINUE, , , , , , , , , +, , CRFactor, ,0,,,,,,,,,,,
, FinalFactor, , , , , , , , ,1, ?, ,1, ,1,,,,,,,,,,,
, , CONTINUE, , , , , , , , , ?, ," ""min(AllDiscount"," MaxCreditPerPeril)""", ," ""min(0"," 0.2) = 0""",,,,,,,,,
