S.No.,Coverage_Name,Perils,Rating_Factors_Algorithm,Rating_Factors_PC_worksheet,Rating_Factors_Expected
49,Coverage A,Hail,Base Rate,table:BaseRate.Hail,BaseRate
50,Coverage A,Hail,Territory Relativities,table:Territory Relativities.Hail,TerrRel
51,Coverage A,Hail,WindHail Excl,table:Wind Hail Exclusion.Hail,WHExcl
52,Coverage A,Hail,Distance to Coast,table:Distance To Coast.Hail,
53,Coverage A,Hail,Acreage,table:Acreage.Hail,Acres
54,Coverage A,Hail,Farm Type,table:Farm_Type.Hail,FarmType
55,Coverage A,Hail,Credit,table:Credit.Hail,Credit
56,Coverage A,Hail,Protection Class,table:Protection Class.Hail,PC
57,Coverage A,Hail,Miles to Fire Department,table:Miles To Fire Department.Hail,MilesToDept
58,Coverage A,Hail,Construction Type,table:Construction Materials for All.Hail,Constr
59,Coverage A,Hail,Number of Families,table:Number Of Families.Hail,NumFam
60,Coverage A,Hail,TownRowhouse,table:TownRowHouse.Hail,TownRow
61,Coverage A,Hail,Stories and Square Feet,table:Sq Feet Stories.Hail,StorSqFt
62,Coverage A,Hail,Replacement Cost Per Sq Foot,table:Repl Cost Sq Ft.Hail,RPCSqFt
63,Coverage A,Hail,Number of Bathrooms,table:Bathrooms.Hail,NumBaths
64,Coverage A,Hail,Garage Factor,table:Garage Factor.Hail,Garages
65,Coverage A,Hail,Dwelling Claims Factor,,DwellClaims
66,Coverage A,Hail,Farming Claims Factor,table:Farming Claims Factor.Hail,FarmClaims
67,Coverage A,Hail,New Business Loss Experience Factor,,
68,Coverage A,Hail,Pool Liability,table:Pool.Hail,Pool
69,Coverage A,Hail,Trampoline Liability,table:Trampoline.Hail,Trampoline
70,Coverage A,Hail,Perils Factor,table:Perils.Hail,Perils
71,Coverage A,Hail,Age of Dwelling,table:Dwelling_Age.Hail,AOD
72,Coverage A,Hail,Dwelling Year Built Factor,table:Dwelling Year Built Factor.Hail,DwellYrBuilt
73,Coverage A,Hail,"Age of Roof, Roof Construction",table:AoR.Hail,AOR
74,Coverage A,Hail,Roof Shape,table:RoofShape.Hail,RoofShape
75,Coverage A,Hail,Roof Exclusion,table:RoofExclusion.Hail,RoofExcl
76,Coverage A,Hail,Utility Update ,table:Utility.Hail,UtilElec
77,Coverage A,Hail,Utility Update ,table:Utility.Hail,UtilHeat
78,Coverage A,Hail,Utility Update ,table:Utility.Hail,UtilPlumb
79,Coverage A,Hail,Multipolicy Discount,table:MultipolicyDiscount.Hail,Multipol
80,Coverage A,Hail,Fortified,table:Fortified.Hail,Fortified
81,Coverage A,Hail,Protective Devices (incl Smart Farm),FinalFactor,ProtDev
82,Coverage A,Hail,Wind Mitigation,table:Wind Mitigation.Hail,
83,Coverage A,Hail,Policy Size Relativity,table:PolicySizeRelativity.Hail,CovAPSR
84,Coverage A,Hail,Coverage Modification,CoverageInfo.CovModLimit,CovAMod
85,Coverage A,Hail,Brushfire,table:Brushfire.Hail,
86,Coverage A,Hail,Solid Fuel Heating Device Surcharge,table:SolidFuel.Hail,SolidFuel
87,Coverage A,Hail,Foundation Type,table:FoundationType.Hail,Foundation
88,Coverage A,Hail,ACV Roof,table:ACVRoof.Hail,ACVRoof
89,Coverage A,Hail,All Peril Deductible,table:All Perils Deductible.Hail,APDed
90,Coverage A,Hail,Wind Hail Deductible,table:WHDeductible.Hail,WHDed
91,Coverage A,Hail,Occupancy,table:Occupancy.Hail,Occupancy
92,Coverage A,Hail,Employee Discount,table:EmployeeDiscount,EmployDisc
93,Coverage A,Hail,IRPM Factor,IFactor,
94,Coverage A,Hail,Fixed Expense,table:Fixed Expense.Hail,FixedExp
,Coverage A,Water,,TermAmount,CovAPrem
94,Coverage A,Water,Base Rate,table:BaseRate.Water,BaseRate
95,Coverage A,Water,Territory Relativities,table:Territory Relativities.Water,TerrRel
96,Coverage A,Water,WindHail Excl,table:Wind Hail Exclusion.Water,WHExcl
97,Coverage A,Water,Distance to Coast,table:Distance To Coast.Water,
98,Coverage A,Water,Acreage,table:Acreage.Water,Acres
99,Coverage A,Water,Farm Type,table:Farm_Type.Water,FarmType
100,Coverage A,Water,Credit,table:Credit.Water,Credit
101,Coverage A,Water,Protection Class,table:Protection Class.Water,PC
102,Coverage A,Water,Miles to Fire Department,table:Miles To Fire Department.Water,MilesToDept
103,Coverage A,Water,Construction Type,table:Construction Materials for All.Water,Constr
104,Coverage A,Water,Number of Families,table:Number Of Families.Water,NumFam
105,Coverage A,Water,TownRowhouse,table:TownRowHouse.Water,TownRow
106,Coverage A,Water,Stories and Square Feet,table:Sq Feet Stories.Water,StorSqFt
107,Coverage A,Water,Replacement Cost Per Sq Foot,table:Repl Cost Sq Ft.Water,RPCSqFt
108,Coverage A,Water,Number of Bathrooms,table:Bathrooms.Water,NumBaths
109,Coverage A,Water,Garage Factor,table:Garage Factor.Water,Garages
110,Coverage A,Water,Dwelling Claims Factor,,DwellClaims
111,Coverage A,Water,Farming Claims Factor,table:Farming Claims Factor.Water,FarmClaims
112,Coverage A,Water,New Business Loss Experience Factor,,
113,Coverage A,Water,Pool Liability,table:Pool.Water,Pool
114,Coverage A,Water,Trampoline Liability,table:Trampoline.Water,Trampoline
115,Coverage A,Water,Perils Factor,table:Perils.Water,Perils
116,Coverage A,Water,Age of Dwelling,table:Dwelling_Age.Water,AOD
117,Coverage A,Water,Dwelling Year Built Factor,table:Dwelling Year Built Factor.Water,DwellYrBuilt
118,Coverage A,Water,"Age of Roof, Roof Construction",table:AoR.Water,AOR
119,Coverage A,Water,Roof Shape,table:RoofShape.Water,RoofShape
120,Coverage A,Water,Roof Exclusion,table:RoofExclusion.Water,RoofExcl
121,Coverage A,Water,Utility Update ,table:Utility.Water,UtilElec
122,Coverage A,Water,Utility Update ,table:Utility.Water,UtilHeat
123,Coverage A,Water,Utility Update ,table:Utility.Water,UtilPlumb
124,Coverage A,Water,Multipolicy Discount,table:MultipolicyDiscount.Water,Multipol
125,Coverage A,Water,Fortified,table:Fortified.Water,Fortified
126,Coverage A,Water,Protective Devices (incl Smart Farm),FinalFactor,ProtDev
127,Coverage A,Water,Wind Mitigation,table:Wind Mitigation.Water,
128,Coverage A,Water,Policy Size Relativity,table:PolicySizeRelativity.Water,CovAPSR
129,Coverage A,Water,Coverage Modification,CoverageInfo.CovModLimit,CovAMod
130,Coverage A,Water,Brushfire,table:Brushfire.Water,
131,Coverage A,Water,Solid Fuel Heating Device Surcharge,table:SolidFuel.Water,SolidFuel
132,Coverage A,Water,Foundation Type,table:FoundationType.Water,Foundation
133,Coverage A,Water,ACV Roof,table:ACVRoof.Water,ACVRoof
134,Coverage A,Water,All Peril Deductible,table:All Perils Deductible.Water,APDed
135,Coverage A,Water,Wind Hail Deductible,table:WHDeductible.Water,WHDed
136,Coverage A,Water,Occupancy,table:Occupancy.Water,Occupancy
137,Coverage A,Water,Employee Discount,table:EmployeeDiscount,EmployDisc
138,Coverage A,Water,IRPM Factor,IFactor,
139,Coverage A,Water,Fixed Expense,table:Fixed Expense.Water,FixedExp
,Coverage A,Theft,,TermAmount,CovAPrem
140,Coverage A,Theft,Base Rate,table:BaseRate.Theft,BaseRate
141,Coverage A,Theft,Territory Relativities,table:Territory Relativities.Theft,TerrRel
142,Coverage A,Theft,WindHail Excl,table:Wind Hail Exclusion.Theft,WHExcl
143,Coverage A,Theft,Distance to Coast,table:Distance To Coast.Theft,
144,Coverage A,Theft,Acreage,table:Acreage.Theft,Acres
145,Coverage A,Theft,Farm Type,table:Farm_Type.Theft,FarmType
146,Coverage A,Theft,Credit,table:Credit.Theft,Credit
147,Coverage A,Theft,Protection Class,table:Protection Class.Theft,PC
148,Coverage A,Theft,Miles to Fire Department,table:Miles To Fire Department.Theft,MilesToDept
149,Coverage A,Theft,Construction Type,table:Construction Materials for All.Theft,Constr
150,Coverage A,Theft,Number of Families,table:Number Of Families.Theft,NumFam
151,Coverage A,Theft,TownRowhouse,table:TownRowHouse.Theft,TownRow
152,Coverage A,Theft,Stories and Square Feet,table:Sq Feet Stories.Theft,StorSqFt
153,Coverage A,Theft,Replacement Cost Per Sq Foot,table:Repl Cost Sq Ft.Theft,RPCSqFt
154,Coverage A,Theft,Number of Bathrooms,table:Bathrooms.Theft,NumBaths
155,Coverage A,Theft,Garage Factor,table:Garage Factor.Theft,Garages
156,Coverage A,Theft,Dwelling Claims Factor,,DwellClaims
157,Coverage A,Theft,Farming Claims Factor,table:Farming Claims Factor.Theft,FarmClaims
158,Coverage A,Theft,New Business Loss Experience Factor,,
159,Coverage A,Theft,Pool Liability,table:Pool.Theft,Pool
160,Coverage A,Theft,Trampoline Liability,table:Trampoline.Theft,Trampoline
161,Coverage A,Theft,Perils Factor,table:Perils.Theft,Perils
162,Coverage A,Theft,Age of Dwelling,table:Dwelling_Age.Theft,AOD
163,Coverage A,Theft,Dwelling Year Built Factor,table:Dwelling Year Built Factor.Theft,DwellYrBuilt
164,Coverage A,Theft,"Age of Roof, Roof Construction",table:AoR.Theft,AOR
165,Coverage A,Theft,Roof Shape,table:RoofShape.Theft,RoofShape
166,Coverage A,Theft,Roof Exclusion,table:RoofExclusion.Theft,RoofExcl
167,Coverage A,Theft,Utility Update ,table:Utility.Theft,UtilElec
168,Coverage A,Theft,Utility Update ,table:Utility.Theft,UtilHeat
169,Coverage A,Theft,Utility Update ,table:Utility.Theft,UtilPlumb
170,Coverage A,Theft,Multipolicy Discount,table:MultipolicyDiscount.Theft,Multipol
171,Coverage A,Theft,Fortified,table:Fortified.Theft,Fortified
172,Coverage A,Theft,Protective Devices (incl Smart Farm),FinalFactor,ProtDev
173,Coverage A,Theft,Wind Mitigation,table:Wind Mitigation.Theft,
174,Coverage A,Theft,Policy Size Relativity,table:PolicySizeRelativity.Theft,CovAPSR
175,Coverage A,Theft,Coverage Modification,CoverageInfo.CovModLimit,CovAMod
176,Coverage A,Theft,Brushfire,table:Brushfire.Theft,
177,Coverage A,Theft,Solid Fuel Heating Device Surcharge,table:SolidFuel.Theft,SolidFuel
178,Coverage A,Theft,Foundation Type,table:FoundationType.Theft,Foundation
179,Coverage A,Theft,ACV Roof,table:ACVRoof.Theft,ACVRoof
180,Coverage A,Theft,All Peril Deductible,table:All Perils Deductible.Theft,APDed
181,Coverage A,Theft,Wind Hail Deductible,table:WHDeductible.Theft,WHDed
182,Coverage A,Theft,Occupancy,table:Occupancy.Theft,Occupancy
183,Coverage A,Theft,Employee Discount,table:EmployeeDiscount,EmployDisc
184,Coverage A,Theft,IRPM Factor,IFactor,
185,Coverage A,Theft,Fixed Expense,table:Fixed Expense.Theft,FixedExp
,Coverage A,Fire,,TermAmount,CovAPrem
186,Coverage A,Fire,Base Rate,table:BaseRate.Fire,BaseRate
187,Coverage A,Fire,Territory Relativities,table:Territory Relativities.Fire,TerrRel
188,Coverage A,Fire,WindHail Excl,table:Wind Hail Exclusion.Fire,WHExcl
189,Coverage A,Fire,Distance to Coast,table:Distance To Coast.Fire,
190,Coverage A,Fire,Acreage,table:Acreage.Fire,Acres
191,Coverage A,Fire,Farm Type,table:Farm_Type.Fire,FarmType
192,Coverage A,Fire,Credit,table:Credit.Fire,Credit
193,Coverage A,Fire,Protection Class,table:Protection Class.Fire,PC
194,Coverage A,Fire,Miles to Fire Department,table:Miles To Fire Department.Fire,MilesToDept
195,Coverage A,Fire,Construction Type,table:Construction Materials for All.Fire,Constr
196,Coverage A,Fire,Number of Families,table:Number Of Families.Fire,NumFam
197,Coverage A,Fire,TownRowhouse,table:TownRowHouse.Fire,TownRow
198,Coverage A,Fire,Stories and Square Feet,table:Sq Feet Stories.Fire,StorSqFt
199,Coverage A,Fire,Replacement Cost Per Sq Foot,table:Repl Cost Sq Ft.Fire,RPCSqFt
200,Coverage A,Fire,Number of Bathrooms,table:Bathrooms.Fire,NumBaths
201,Coverage A,Fire,Garage Factor,table:Garage Factor.Fire,Garages
202,Coverage A,Fire,Dwelling Claims Factor,,DwellClaims
203,Coverage A,Fire,Farming Claims Factor,table:Farming Claims Factor.Fire,FarmClaims
204,Coverage A,Fire,New Business Loss Experience Factor,,
205,Coverage A,Fire,Pool Liability,table:Pool.Fire,Pool
206,Coverage A,Fire,Trampoline Liability,table:Trampoline.Fire,Trampoline
207,Coverage A,Fire,Perils Factor,table:Perils.Fire,Perils
208,Coverage A,Fire,Age of Dwelling,table:Dwelling_Age.Fire,AOD
209,Coverage A,Fire,Dwelling Year Built Factor,table:Dwelling Year Built Factor.Fire,DwellYrBuilt
210,Coverage A,Fire,"Age of Roof, Roof Construction",table:AoR.Fire,AOR
211,Coverage A,Fire,Roof Shape,table:RoofShape.Fire,RoofShape
212,Coverage A,Fire,Roof Exclusion,table:RoofExclusion.Fire,RoofExcl
213,Coverage A,Fire,Utility Update , table:Utility.Fire,UtilElec
214,Coverage A,Fire,Utility Update , table:Utility.Fire,UtilHeat
215,Coverage A,Fire,Utility Update , table:Utility.Fire,UtilPlumb
216,Coverage A,Fire,Multipolicy Discount,table:MultipolicyDiscount.Fire,Multipol
217,Coverage A,Fire,Fortified,table:Fortified.Fire,Fortified
218,Coverage A,Fire,Protective Devices (incl Smart Farm),FinalFactor,ProtDev
219,Coverage A,Fire,Wind Mitigation,table:Wind Mitigation.Fire,
220,Coverage A,Fire,Policy Size Relativity,table:PolicySizeRelativity.Fire,CovAPSR
221,Coverage A,Fire,Coverage Modification,CoverageInfo.CovModLimit,CovAMod
222,Coverage A,Fire,Brushfire,table:Brushfire.Fire,
223,Coverage A,Fire,Solid Fuel Heating Device Surcharge,table:SolidFuel.Fire,SolidFuel
224,Coverage A,Fire,Foundation Type,table:FoundationType.Fire,Foundation
225,Coverage A,Fire,ACV Roof,table:ACVRoof.Fire,ACVRoof
226,Coverage A,Fire,All Peril Deductible,table:All Perils Deductible.Fire,APDed
227,Coverage A,Fire,Wind Hail Deductible,table:WHDeductible.Fire,WHDed
228,Coverage A,Fire,Occupancy,table:Occupancy.Fire,Occupancy
229,Coverage A,Fire,Employee Discount,table:EmployeeDiscount,EmployDisc
230,Coverage A,Fire,IRPM Factor,IFactor,
231,Coverage A,Fire,Fixed Expense,table:Fixed Expense.Fire,FixedExp
,Coverage A,Hurricane,,TermAmount,CovAPrem
232,Coverage A,Hurricane,Base Rate,table:BaseRate.Hurricane,BaseRate
233,Coverage A,Hurricane,Territory Relativities,table:Territory Relativities.Hurricane,TerrRel
234,Coverage A,Hurricane,WindHail Excl,table:Wind Hail Exclusion.Hurricane,WHExcl
235,Coverage A,Hurricane,Distance to Coast,table:Distance To Coast.Hurricane,
236,Coverage A,Hurricane,Acreage,table:Acreage.Hurricane,Acres
237,Coverage A,Hurricane,Farm Type,table:Farm_Type.Hurricane,FarmType
238,Coverage A,Hurricane,Credit,table:Credit.Hurricane,Credit
239,Coverage A,Hurricane,Protection Class,table:Protection Class.Hurricane,PC
240,Coverage A,Hurricane,Miles to Fire Department,table:Miles To Fire Department.Hurricane,MilesToDept
241,Coverage A,Hurricane,Construction Type,table:Construction Materials for All.Hurricane,Constr
242,Coverage A,Hurricane,Number of Families,table:Number Of Families.Hurricane,NumFam
243,Coverage A,Hurricane,TownRowhouse,table:TownRowHouse.Hurricane,TownRow
244,Coverage A,Hurricane,Stories and Square Feet,table:Sq Feet Stories.Hurricane,StorSqFt
245,Coverage A,Hurricane,Replacement Cost Per Sq Foot,table:Repl Cost Sq Ft.Hurricane,RPCSqFt
246,Coverage A,Hurricane,Number of Bathrooms,table:Bathrooms.Hurricane,NumBaths
247,Coverage A,Hurricane,Garage Factor,table:Garage Factor.Hurricane,Garages
248,Coverage A,Hurricane,Dwelling Claims Factor,,DwellClaims
249,Coverage A,Hurricane,Farming Claims Factor,table:Farming Claims Factor.Hurricane,FarmClaims
250,Coverage A,Hurricane,New Business Loss Experience Factor,,
251,Coverage A,Hurricane,Pool Liability,table:Pool.Hurricane,Pool
252,Coverage A,Hurricane,Trampoline Liability,table:Trampoline.Hurricane,Trampoline
253,Coverage A,Hurricane,Perils Factor,table:Perils.Hurricane,Perils
254,Coverage A,Hurricane,Age of Dwelling,table:Dwelling_Age.Hurricane,AOD
255,Coverage A,Hurricane,Dwelling Year Built Factor,table:Dwelling Year Built Factor.Hurricane,DwellYrBuilt
256,Coverage A,Hurricane,"Age of Roof, Roof Construction",table:AoR.Hurricane,AOR
257,Coverage A,Hurricane,Roof Shape,table:RoofShape.Hurricane,RoofShape
258,Coverage A,Hurricane,Roof Exclusion,table:RoofExclusion.Hurricane,RoofExcl
259,Coverage A,Hurricane,Utility Update ,table:Utility.Hurricane,UtilElec
260,Coverage A,Hurricane,Utility Update ,table:Utility.Hurricane,UtilHeat
261,Coverage A,Hurricane,Utility Update ,table:Utility.Hurricane,UtilPlumb
262,Coverage A,Hurricane,Multipolicy Discount,table:MultipolicyDiscount.Hurricane,Multipol
263,Coverage A,Hurricane,Fortified,table:Fortified.Hurricane,Fortified
264,Coverage A,Hurricane,Protective Devices (incl Smart Farm),FinalFactor,ProtDev
265,Coverage A,Hurricane,Wind Mitigation,table:Wind Mitigation.Hurricane,
266,Coverage A,Hurricane,Policy Size Relativity,table:PolicySizeRelativity.Hurricane,CovAPSR
267,Coverage A,Hurricane,Coverage Modification,CoverageInfo.CovModLimit,CovAMod
268,Coverage A,Hurricane,Brushfire,table:Brushfire.Hurricane,
269,Coverage A,Hurricane,Solid Fuel Heating Device Surcharge,table:SolidFuel.Hurricane,SolidFuel
270,Coverage A,Hurricane,Foundation Type,table:FoundationType.Hurricane,Foundation
271,Coverage A,Hurricane,ACV Roof,table:ACVRoof.Hurricane,ACVRoof
272,Coverage A,Hurricane,All Peril Deductible,table:All Perils Deductible.Hurricane,APDed
273,Coverage A,Hurricane,Wind Hail Deductible,table:WHDeductible.Hurricane,WHDed
274,Coverage A,Hurricane,Occupancy,table:Occupancy.Hurricane,Occupancy
275,Coverage A,Hurricane,Employee Discount,table:EmployeeDiscount,EmployDisc
276,Coverage A,Hurricane,IRPM Factor,IFactor,
277,Coverage A,Hurricane,Fixed Expense,table:Fixed Expense.Hurricane,FixedExp
,Coverage A,Wind,,TermAmount,CovAPrem
278,Coverage A,Wind,Base Rate,table:BaseRate.Wind,BaseRate
279,Coverage A,Wind,Territory Relativities,table:Territory Relativities.Wind,TerrRel
280,Coverage A,Wind,WindHail Excl,table:Wind Hail Exclusion.Wind,WHExcl
281,Coverage A,Wind,Distance to Coast,table:Distance To Coast.Wind,
282,Coverage A,Wind,Acreage,table:Acreage.Wind,Acres
283,Coverage A,Wind,Farm Type,table:Farm_Type.Wind,FarmType
284,Coverage A,Wind,Credit,table:Credit.Wind,Credit
285,Coverage A,Wind,Protection Class,table:Protection Class.Wind,PC
286,Coverage A,Wind,Miles to Fire Department,table:Miles To Fire Department.Wind,MilesToDept
287,Coverage A,Wind,Construction Type,table:Construction Materials for All.Wind,Constr
288,Coverage A,Wind,Number of Families,table:Number Of Families.Wind,NumFam
289,Coverage A,Wind,TownRowhouse,table:TownRowHouse.Wind,TownRow
290,Coverage A,Wind,Stories and Square Feet,table:Sq Feet Stories.Wind,StorSqFt
291,Coverage A,Wind,Replacement Cost Per Sq Foot,table:Repl Cost Sq Ft.Wind,RPCSqFt
292,Coverage A,Wind,Number of Bathrooms,table:Bathrooms.Wind,NumBaths
293,Coverage A,Wind,Garage Factor,table:Garage Factor.Wind,Garages
294,Coverage A,Wind,Dwelling Claims Factor,,DwellClaims
295,Coverage A,Wind,Farming Claims Factor,table:Farming Claims Factor.Wind,FarmClaims
296,Coverage A,Wind,New Business Loss Experience Factor,,
297,Coverage A,Wind,Pool Liability,table:Pool.Wind,Pool
298,Coverage A,Wind,Trampoline Liability,table:Trampoline.Wind,Trampoline
299,Coverage A,Wind,Perils Factor,table:Perils.Wind,Perils
300,Coverage A,Wind,Age of Dwelling,table:Dwelling_Age.Wind,AOD
301,Coverage A,Wind,Dwelling Year Built Factor,table:Dwelling Year Built Factor.Wind,DwellYrBuilt
302,Coverage A,Wind,"Age of Roof, Roof Construction",table:AoR.Wind,AOR
303,Coverage A,Wind,Roof Shape,table:RoofShape.Wind,RoofShape
304,Coverage A,Wind,Roof Exclusion,table:RoofExclusion.Wind,RoofExcl
305,Coverage A,Wind,Utility Update ,table:Utility.Wind,UtilElec
306,Coverage A,Wind,Utility Update ,table:Utility.Wind,UtilHeat
307,Coverage A,Wind,Utility Update ,table:Utility.Wind,UtilPlumb
308,Coverage A,Wind,Multipolicy Discount,table:MultipolicyDiscount.Wind,Multipol
309,Coverage A,Wind,Fortified,table:Fortified.Wind,Fortified
310,Coverage A,Wind,Protective Devices (incl Smart Farm),FinalFactor,ProtDev
311,Coverage A,Wind,Wind Mitigation,table:Wind Mitigation.Wind,
312,Coverage A,Wind,Policy Size Relativity,table:PolicySizeRelativity.Wind,CovAPSR
313,Coverage A,Wind,Coverage Modification,CoverageInfo.CovModLimit,CovAMod
314,Coverage A,Wind,Brushfire,table:Brushfire.Wind,
315,Coverage A,Wind,Solid Fuel Heating Device Surcharge,table:SolidFuel.Wind,SolidFuel
316,Coverage A,Wind,Foundation Type,table:FoundationType.Wind,Foundation
317,Coverage A,Wind,ACV Roof,table:ACVRoof.Wind,ACVRoof
318,Coverage A,Wind,All Peril Deductible,table:All Perils Deductible.Wind,APDed
319,Coverage A,Wind,Wind Hail Deductible,table:WHDeductible.Wind,WHDed
320,Coverage A,Wind,Occupancy,table:Occupancy.Wind,Occupancy
321,Coverage A,Wind,Employee Discount,table:EmployeeDiscount,EmployDisc
322,Coverage A,Wind,IRPM Factor,IFactor,
323,Coverage A,Wind,Fixed Expense,table:Fixed Expense.Wind,FixedExp
,Coverage A,Other,,TermAmount,CovAPrem
324,Coverage A,Other,Base Rate,table:BaseRate.Other,BaseRate
325,Coverage A,Other,Territory Relativities,table:Territory Relativities.Other,TerrRel
326,Coverage A,Other,WindHail Excl,table:Wind Hail Exclusion.Other,WHExcl
327,Coverage A,Other,Distance to Coast,table:Distance To Coast.Other,
328,Coverage A,Other,Acreage,table:Acreage.Other,Acres
329,Coverage A,Other,Farm Type,table:Farm_Type.Other,FarmType
330,Coverage A,Other,Credit,table:Credit.Other,Credit
331,Coverage A,Other,Protection Class,table:Protection Class.Other,PC
332,Coverage A,Other,Miles to Fire Department,table:Miles To Fire Department.Other,MilesToDept
333,Coverage A,Other,Construction Type,table:Construction Materials for All.Other,Constr
334,Coverage A,Other,Number of Families,table:Number Of Families.Other,NumFam
335,Coverage A,Other,TownRowhouse,table:TownRowHouse.Other,TownRow
336,Coverage A,Other,Stories and Square Feet,table:Sq Feet Stories.Other,StorSqFt
337,Coverage A,Other,Replacement Cost Per Sq Foot,table:Repl Cost Sq Ft.Other,RPCSqFt
338,Coverage A,Other,Number of Bathrooms,table:Bathrooms.Other,NumBaths
339,Coverage A,Other,Garage Factor,table:Garage Factor.Other,Garages
340,Coverage A,Other,Dwelling Claims Factor,,DwellClaims
341,Coverage A,Other,Farming Claims Factor,table:Farming Claims Factor.Other,FarmClaims
342,Coverage A,Other,New Business Loss Experience Factor,,
343,Coverage A,Other,Pool Liability,table:Pool.Other,Pool
344,Coverage A,Other,Trampoline Liability,table:Trampoline.Other,Trampoline
345,Coverage A,Other,Perils Factor,table:Perils.Other,Perils
346,Coverage A,Other,Age of Dwelling,table:Dwelling_Age.Other,AOD
347,Coverage A,Other,Dwelling Year Built Factor,table:Dwelling Year Built Factor.Other,DwellYrBuilt
348,Coverage A,Other,"Age of Roof, Roof Construction",table:AoR.Other,AOR
349,Coverage A,Other,Roof Shape,table:RoofShape.Other,RoofShape
350,Coverage A,Other,Roof Exclusion,table:RoofExclusion.Other,RoofExcl
351,Coverage A,Other,Utility Update ,table:Utility.Other,UtilElec
352,Coverage A,Other,Utility Update ,table:Utility.Other,UtilHeat
353,Coverage A,Other,Utility Update ,table:Utility.Other,UtilPlumb
354,Coverage A,Other,Multipolicy Discount,table:MultipolicyDiscount.Other,Multipol
355,Coverage A,Other,Fortified,table:Fortified.Other,Fortified
356,Coverage A,Other,Protective Devices (incl Smart Farm),FinalFactor,ProtDev
