Instruction, , , , , , , , , , Result, Operator, (, Operand, ), Actual Value(s)
, CONTINUE, , , , , , , , , , ×, , table:Territory Relativities.Hurricane, , "(1, Cov F, 47527) = 1.025"
, CONTINUE, , , , , , , , , , ×, , table:Wind Hail Exclusion.Hurricane, , (false) = 1
, CONTINUE, , , , , , , , , , ×, , AcreageFactor, , 1
, CONTINUE, , , , , , , , , , ×, , table:Farm_Type.Hurricane, , "(1, Dairy, Cov F) = 1"
, CONTINUE, , , , , , , , , , ×, , table:Farm Property Class.Hurricane, , "(1, Unregistered Farm Motor Vehicle) = 1"
, CONTINUE, , , , , , , , , , ×, , table:Credit.Hurricane, , "(1, <<998,998>>, Cov F) = 1.027"
, CONTINUE, , , , , , , , , , ×, , table:Protection Class.Hurricane, , "(1, 8, Cov F) = 1"
, CONTINUE, , , , , , , , , , ×, , table:Age Of Equipment.Hurricane, , "(1, <<1,1>>, Other) = 1"
, CONTINUE, , , , , , , , , , ×, , table:MultipolicyDiscount.Hurricane, , "(1, false, false, false, false, false, false) = 1"
, CONTINUE, , , , , , , , , , ×, , PolicySizeFactor, , 0.08544
, CONTINUE, , , , , , , , , , ×, , table:All Perils Deductible.Hurricane, , "(1, Cov F, 1000, <<8544,8544>>) = 1"
, CONTINUE, , , , , , , , , , ×, , table:EmployeeDiscount, , "(false, 1) = 1"
BaseRate, , , , , , , , , , 0.21230000000, ←, , CostData.BaseRate, , 0.2123
, CONTINUE, , , , , , , , , , ×, , RatingInfo.IRPMFactor, , 1
BaseRate, , , , , , , , , , 0.2123000, ←, , CostData.BaseRate, , 0.2123
, CONTINUE, , , , , , , , , , +, , table:Fixed Expense.Hurricane, , "(1, Cov F) = 0"
AdjustedRate, , , , , , , , , , 0.2123, ←, , CostData.BaseRate, , 0.2123
TermAmount, , , , , , , , , , 0.21, ←, , CostData.BaseRate, , 0.2123
, CONTINUE, , , , , , , , , , R, , .01, , 0.21
Scheduled Farm Personal Property ( Machinery ) -Hail, , , , , , , , , , , , , , , 
FRM_RB_INDIANA (1), , , , , , , , , , , , , , , 
Cov_F_Hail (1), , , , , , , , , , , , , , , 
PolicySizeFactor, , , , , , , , , , 0.0564700000, ←, , table:PolicySizeRelativity.Hail, , "(1, 5647, Cov F) = 0.05647"
AcreageFactor, , , , , , , , , , 1.0, ←, , 1, , 1
AcreageFactor, , , , , , , , , , 1.0000000000, ←, , table:Acreage.Hail, , "(1, <<1520,1520>>, Cov F) = 1"
BaseRate, , , , , , , , , , 0.0258028304930100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000, ←, , table:BaseRate.Hail, , "(1, Cov F) = 0.36"
, CONTINUE, , , , , , , , , , ×, , table:Territory Relativities.Hail, , "(1, Cov F, 47527) = 1.103"
, CONTINUE, , , , , , , , , , ×, , table:Wind Hail Exclusion.Hail, , (false) = 1
, CONTINUE, , , , , , , , , , ×, , AcreageFactor, , 1
, CONTINUE, , , , , , , , , , ×, , table:Farm_Type.Hail, , "(1, Dairy, Cov F) = 1"
, CONTINUE, , , , , , , , , , ×, , table:Farm Property Class.Hail, , "(1, Machinery) = 1"
, CONTINUE, , , , , , , , , , ×, , table:Credit.Hail, , "(1, <<998,998>>, Cov F) = 1.005"
, CONTINUE, , , , , , , , , , ×, , table:Protection Class.Hail, , "(1, 8, Cov F) = 1.145"
, CONTINUE, , , , , , , , , , ×, , table:Age Of Equipment.Hail, , "(1, <<1,1>>, Machinery) = 1"
, CONTINUE, , , , , , , , , , ×, , table:MultipolicyDiscount.Hail, , "(1, false, false, false, false, false, false) = 1"
, CONTINUE, , , , , , , , , , ×, , PolicySizeFactor, , 0.05647
, CONTINUE, , , , , , , , , , ×, , table:All Perils Deductible.Hail, , "(1, Cov F, 1000, <<5647,5647>>) = 1"
, CONTINUE, , , , , , , , , , ×, , table:EmployeeDiscount, , "(false, 1) = 1"
BaseRate, , , , , , , , , , 0.02580000000, ←, , CostData.BaseRate, , 0.0258
, CONTINUE, , , , , , , , , , ×, , RatingInfo.IRPMFactor, , 1
BaseRate, , , , , , , , , , 0.0258000, ←, , CostData.BaseRate, , 0.0258
, CONTINUE, , , , , , , , , , +, , table:Fixed Expense.Hail, , "(1, Cov F) = 0"
AdjustedRate, , , , , , , , , , 0.0258, ←, , CostData.BaseRate, , 0.0258
TermAmount, , , , , , , , , , 0.03, ←, , CostData.BaseRate, , 0.0258
, CONTINUE, , , , , , , , , , R, , .01, , 0.03
Scheduled Farm Personal Property ( Cotton Harvesting Equipment ) -Other, , , , , , , , , , , , , , , 
FRM_RB_INDIANA (1), , , , , , , , , , , , , , , 
FarmMachineryUnderScheduledPP_Other (1), , , , , , , , , , , , , , , 
BaseRate, , , , , , , , , , 11.112000000, ←, , CoverageInfo.CoverageFOtherCost, , 74.08
, CONTINUE, , , , , , , , , , ×, , table:FPP_RC.Other, , (1) = 0.15
AdjustedRate, , , , , , , , , , 11.1120, ←, , CostData.BaseRate, , 11.112
TermAmount, , , , , , , , , , 11.11, ←, , CostData.BaseRate, , 11.112
, CONTINUE, , , , , , , , , , R, , .01, , 11.11
Scheduled Farm Personal Property ( Cotton Harvesting Equipment ) -Fire, , , , , , , , , , , , , , , 
FRM_RB_INDIANA (1), , , , , , , , , , , , , , , 
Cov_F_Fire (1), , , , , , , , , , , , , , , 
PolicySizeFactor, , , , , , , , , , 0.1250000000, ←, , table:PolicySizeRelativity.Fire, , "(1, 12500, Cov F) = 0.125"
AcreageFactor, , , , , , , , , , 1.0, ←, , 1, , 1
AcreageFactor, , , , , , , , , , 1.0000000000, ←, , table:Acreage.Fire, , "(1, <<1520,1520>>, Cov F) = 1"
BaseRate, , , , , , , , , , 9.2272136325866875000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000, ←, , table:BaseRate.Fire, , "(1, Cov F) = 97.91"
, CONTINUE, , , , , , , , , , ×, , table:Territory Relativities.Fire, , "(1, Cov F, 47527) = 0.875"
, CONTINUE, , , , , , , , , , ×, , table:Wind Hail Exclusion.Fire, , (false) = 1
, CONTINUE, , , , , , , , , , ×, , AcreageFactor, , 1
, CONTINUE, , , , , , , , , , ×, , table:Farm_Type.Fire, , "(1, Dairy, Cov F) = 1"
, CONTINUE, , , , , , , , , , ×, , table:Farm Property Class.Fire, , "(1, Cotton Harvesting Equipment) = 1.4"
, CONTINUE, , , , , , , , , , ×, , table:Credit.Fire, , "(1, <<998,998>>, Cov F) = 1.058"
, CONTINUE, , , , , , , , , , ×, , table:Protection Class.Fire, , "(1, 8, Cov F) = 0.587"
, CONTINUE, , , , , , , , , , ×, , table:Age Of Equipment.Fire, , "(1, <<1,1>>, Cotton) = 1"
, CONTINUE, , , , , , , , , , ×, , table:MultipolicyDiscount.Fire, , "(1, false, false, false, false, false, false) = 1"
, CONTINUE, , , , , , , , , , ×, , PolicySizeFactor, , 0.125
, CONTINUE, , , , , , , , , , ×, , table:All Perils Deductible.Fire, , "(1, Cov F, 1000, <<12500,12500>>) = 0.991"
, CONTINUE, , , , , , , , , , ×, , table:EmployeeDiscount, , "(false, 1) = 1"
BaseRate, , , , , , , , , , 9.22720000000, ←, , CostData.BaseRate, , 9.2272
, CONTINUE, , , , , , , , , , ×, , RatingInfo.IRPMFactor, , 1
BaseRate, , , , , , , , , , 9.2272000, ←, , CostData.BaseRate, , 9.2272
, CONTINUE, , , , , , , , , , +, , table:Fixed Expense.Fire, , "(1, Cov F) = 0"
AdjustedRate, , , , , , , , , , 9.2272, ←, , CostData.BaseRate, , 9.2272
TermAmount, , , , , , , , , , 9.23, ←, , CostData.BaseRate, , 9.2272
, CONTINUE, , , , , , , , , , R, , .01, , 9.23
Scheduled Farm Personal Property ( Combines ) -Liability, , , , , , , , , , , , , , , 
FRM_RB_INDIANA (1), , , , , , , , , , , , , , , 
FarmMachineryUnderScheduledPP_Liability (1), , , , , , , , , , , , , , , 
BaseRate, , , , , , , , , , 2.130500000, ←, , CoverageInfo.CoverageFLiabilityCost, , 42.61
, CONTINUE, , , , , , , , , , ×, , table:FPP_RC.Liability, , (0) = 0.05
AdjustedRate, , , , , , , , , , 2.1305, ←, , CostData.BaseRate, , 2.1305
TermAmount, , , , , , , , , , 2.13, ←, , CostData.BaseRate, , 2.1305
, CONTINUE, , , , , , , , , , R, , .01, , 2.13
Scheduled Farm Personal Property ( Unregistered Farm Motor Vehicle ) -Hail, , , , , , , , , , , , , , , 
FRM_RB_INDIANA (1), , , , , , , , , , , , , , , 
Cov_F_Hail (1), , , , , , , , , , , , , , , 
PolicySizeFactor, , , , , , , , , , 0.0854400000, ←, , table:PolicySizeRelativity.Hail, , "(1, 8544, Cov F) = 0.08544"
AcreageFactor, , , , , , , , , , 1.0, ←, , 1, , 1
AcreageFactor, , , , , , , , , , 1.0000000000, ←, , table:Acreage.Hail, , "(1, <<1520,1520>>, Cov F) = 1"
BaseRate, , , , , , , , , , 0.0390400892035200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000, ←, , table:BaseRate.Hail, , "(1, Cov F) = 0.36"
, CONTINUE, , , , , , , , , , ×, , table:Territory Relativities.Hail, , "(1, Cov F, 47527) = 1.103"
, CONTINUE, , , , , , , , , , ×, , table:Wind Hail Exclusion.Hail, , (false) = 1
, CONTINUE, , , , , , , , , , ×, , AcreageFactor, , 1
, CONTINUE, , , , , , , , , , ×, , table:Farm_Type.Hail, , "(1, Dairy, Cov F) = 1"
, CONTINUE, , , , , , , , , , ×, , table:Farm Property Class.Hail, , "(1, Unregistered Farm Motor Vehicle) = 1"
, CONTINUE, , , , , , , , , , ×, , table:Credit.Hail, , "(1, <<998,998>>, Cov F) = 1.005"
, CONTINUE, , , , , , , , , , ×, , table:Protection Class.Hail, , "(1, 8, Cov F) = 1.145"
, CONTINUE, , , , , , , , , , ×, , table:Age Of Equipment.Hail, , "(1, <<1,1>>, Other) = 1"
, CONTINUE, , , , , , , , , , ×, , table:MultipolicyDiscount.Hail, , "(1, false, false, false, false, false, false) = 1"
, CONTINUE, , , , , , , , , , ×, , PolicySizeFactor, , 0.08544
, CONTINUE, , , , , , , , , , ×, , table:All Perils Deductible.Hail, , "(1, Cov F, 1000, <<8544,8544>>) = 1"
, CONTINUE, , , , , , , , , , ×, , table:EmployeeDiscount, , "(false, 1) = 1"
BaseRate, , , , , , , , , , 0.03900000000, ←, , CostData.BaseRate, , 0.039
, CONTINUE, , , , , , , , , , ×, , RatingInfo.IRPMFactor, , 1
BaseRate, , , , , , , , , , 0.0390000, ←, , CostData.BaseRate, , 0.039
, CONTINUE, , , , , , , , , , +, , table:Fixed Expense.Hail, , "(1, Cov F) = 0"
AdjustedRate, , , , , , , , , , 0.0390, ←, , CostData.BaseRate, , 0.039
TermAmount, , , , , , , , , , 0.04, ←, , CostData.BaseRate, , 0.039
, CONTINUE, , , , , , , , , , R, , .01, , 0.04
Scheduled Farm Personal Property ( Cotton Harvesting Equipment ) -Theft, , , , , , , , , , , , , , , 
FRM_RB_INDIANA (1), , , , , , , , , , , , , , , 
Cov_F_Theft (1), , , , , , , , , , , , , , , 
PolicySizeFactor, , , , , , , , , , 0.1772500000, ←, , table:PolicySizeRelativity.Theft, , "(1, 12500, Cov F) = 0.17725"
AcreageFactor, , , , , , , , , , 1.0, ←, , 1, , 1
AcreageFactor, , , , , , , , , , 1.0000000000, ←, , table:Acreage.Theft, , "(1, <<1520,1520>>, Cov F) = 1"
BaseRate, , , , , , , , , , 9.3126769440705000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000, ←, , table:BaseRate.Theft, , "(1, Cov F) = 61.91"
, CONTINUE, , , , , , , , , , ×, , table:Territory Relativities.Theft, , "(1, Cov F, 47527) = 0.858"
, CONTINUE, , , , , , , , , , ×, , table:Wind Hail Exclusion.Theft, , (false) = 1
, CONTINUE, , , , , , , , , , ×, , AcreageFactor, , 1
, CONTINUE, , , , , , , , , , ×, , table:Farm_Type.Theft, , "(1, Dairy, Cov F) = 1"
, CONTINUE, , , , , , , , , , ×, , table:Farm Property Class.Theft, , "(1, Cotton Harvesting Equipment) = 1"
, CONTINUE, , , , , , , , , , ×, , table:Credit.Theft, , "(1, <<998,998>>, Cov F) = 1.05"
, CONTINUE, , , , , , , , , , ×, , table:Protection Class.Theft, , "(1, 8, Cov F) = 1"
, CONTINUE, , , , , , , , , , ×, , table:Age Of Equipment.Theft, , "(1, <<1,1>>, Cotton) = 1"
, CONTINUE, , , , , , , , , , ×, , table:MultipolicyDiscount.Theft, , "(1, false, false, false, false, false, false) = 1"
, CONTINUE, , , , , , , , , , ×, , PolicySizeFactor, , 0.17725
, CONTINUE, , , , , , , , , , ×, , table:All Perils Deductible.Theft, , "(1, Cov F, 1000, <<12500,12500>>) = 0.942"
, CONTINUE, , , , , , , , , , ×, , table:EmployeeDiscount, , "(false, 1) = 1"
BaseRate, , , , , , , , , , 9.31270000000, ←, , CostData.BaseRate, , 9.3127
, CONTINUE, , , , , , , , , , ×, , RatingInfo.IRPMFactor, , 1
BaseRate, , , , , , , , , , 9.3127000, ←, , CostData.BaseRate, , 9.3127
, CONTINUE, , , , , , , , , , +, , table:Fixed Expense.Theft, , "(1, Cov F) = 0"
AdjustedRate, , , , , , , , , , 9.3127, ←, , CostData.BaseRate, , 9.3127
TermAmount, , , , , , , , , , 9.31, ←, , CostData.BaseRate, , 9.3127
, CONTINUE, , , , , , , , , , R, , .01, , 9.31
Scheduled Farm Personal Property ( Unregistered Farm Motor Vehicle ) -Wind, , , , , , , , , , , , , , , 
FRM_RB_INDIANA (1), , , , , , , , , , , , , , , 
Cov_F_Wind (1), , , , , , , , , , , , , , , 
PolicySizeFactor, , , , , , , , , , 0.0854400000, ←, , table:PolicySizeRelativity.Wind, , "(1, 8544, Cov F) = 0.08544"
AcreageFactor, , , , , , , , , , 1.0, ←, , 1, , 1
AcreageFactor, , , , , , , , , , 1.0000000000, ←, , table:Acreage.Wind, , "(1, <<1520,1520>>, Cov F) = 1"
BaseRate, , , , , , , , , , 9.4691111267095200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000, ←, , table:BaseRate.Wind, , "(1, Cov F) = 110.55"
, CONTINUE, , , , , , , , , , ×, , table:Territory Relativities.Wind, , "(1, Cov F, 47527) = 1.103"
, CONTINUE, , , , , , , , , , ×, , table:Wind Hail Exclusion.Wind, , (false) = 1
, CONTINUE, , , , , , , , , , ×, , AcreageFactor, , 1
, CONTINUE, , , , , , , , , , ×, , table:Farm_Type.Wind, , "(1, Dairy, Cov F) = 1"
, CONTINUE, , , , , , , , , , ×, , table:Farm Property Class.Wind, , "(1, Unregistered Farm Motor Vehicle) = 1"
, CONTINUE, , , , , , , , , , ×, , table:Credit.Wind, , "(1, <<998,998>>, Cov F) = 1.027"
, CONTINUE, , , , , , , , , , ×, , table:Protection Class.Wind, , "(1, 8, Cov F) = 0.885"
, CONTINUE, , , , , , , , , , ×, , table:Age Of Equipment.Wind, , "(1, <<1,1>>, Other) = 1"
, CONTINUE, , , , , , , , , , ×, , table:MultipolicyDiscount.Wind, , "(1, false, false, false, false, false, false) = 1"
, CONTINUE, , , , , , , , , , ×, , PolicySizeFactor, , 0.08544
, CONTINUE, , , , , , , , , , ×, , table:All Perils Deductible.Wind, , "(1, Cov F, 1000, <<8544,8544>>) = 1"
, CONTINUE, , , , , , , , , , ×, , table:EmployeeDiscount, , "(false, 1) = 1"
BaseRate, , , , , , , , , , 9.46910000000, ←, , CostData.BaseRate, , 9.4691
, CONTINUE, , , , , , , , , , ×, , RatingInfo.IRPMFactor, , 1
BaseRate, , , , , , , , , , 9.4691000, ←, , CostData.BaseRate, , 9.4691
, CONTINUE, , , , , , , , , , +, , table:Fixed Expense.Wind, , "(1, Cov F) = 0"
AdjustedRate, , , , , , , , , , 9.4691, ←, , CostData.BaseRate, , 9.4691
TermAmount, , , , , , , , , , 9.47, ←, , CostData.BaseRate, , 9.4691
, CONTINUE, , , , , , , , , , R, , .01, , 9.47
Scheduled Farm Personal Property ( Machinery ) -Hurricane, , , , , , , , , , , , , , , 
FRM_RB_INDIANA (1), , , , , , , , , , , , , , , 
Cov_F_Hurricane (1), , , , , , , , , , , , , , , 
AcreageFactor, , , , , , , , , , 1.0, ←, , 1, , 1
AcreageFactor, , , , , , , , , , 1.0000000000, ←, , table:Acreage.Hurricane, , "(1, <<1520,1520>>, Cov F) = 1"
PolicySizeFactor, , , , , , , , , , 0.0564700000, ←, , table:PolicySizeRelativity.Hurricane, , "(1, 5647, Cov F) = 0.05647"
BaseRate, , , , , , , , , , 0.1402891551100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000, ←, , table:BaseRate.Hurricane, , "(1, Cov F) = 2.36"
, CONTINUE, , , , , , , , , , ×, , table:Territory Relativities.Hurricane, , "(1, Cov F, 47527) = 1.025"
, CONTINUE, , , , , , , , , , ×, , table:Wind Hail Exclusion.Hurricane, , (false) = 1
, CONTINUE, , , , , , , , , , ×, , AcreageFactor, , 1
, CONTINUE, , , , , , , , , , ×, , table:Farm_Type.Hurricane, , "(1, Dairy, Cov F) = 1"
, CONTINUE, , , , , , , , , , ×, , table:Farm Property Class.Hurricane, , "(1, Machinery) = 1"
, CONTINUE, , , , , , , , , , ×, , table:Credit.Hurricane, , "(1, <<998,998>>, Cov F) = 1.027"
, CONTINUE, , , , , , , , , , ×, , table:Protection Class.Hurricane, , "(1, 8, Cov F) = 1"
, CONTINUE, , , , , , , , , , ×, , table:Age Of Equipment.Hurricane, , "(1, <<1,1>>, Machinery) = 1"
, CONTINUE, , , , , , , , , , ×, , table:MultipolicyDiscount.Hurricane, , "(1, false, false, false, false, false, false) = 1"
, CONTINUE, , , , , , , , , , ×, , PolicySizeFactor, , 0.05647
, CONTINUE, , , , , , , , , , ×, , table:All Perils Deductible.Hurricane, , "(1, Cov F, 1000, <<5647,5647>>) = 1"
, CONTINUE, , , , , , , , , , ×, , table:EmployeeDiscount, , "(false, 1) = 1"
BaseRate, , , , , , , , , , 0.14030000000, ←, , CostData.BaseRate, , 0.1403
, CONTINUE, , , , , , , , , , ×, , RatingInfo.IRPMFactor, , 1
BaseRate, , , , , , , , , , 0.1403000, ←, , CostData.BaseRate, , 0.1403
, CONTINUE, , , , , , , , , , +, , table:Fixed Expense.Hurricane, , "(1, Cov F) = 0"
AdjustedRate, , , , , , , , , , 0.1403, ←, , CostData.BaseRate, , 0.1403
TermAmount, , , , , , , , , , 0.14, ←, , CostData.BaseRate, , 0.1403
, CONTINUE, , , , , , , , , , R, , .01, , 0.14
Farm Personal Liability - Liability, , , , , , , , , , , , , , , 
FRM_RB_INDIANA (1), , , , , , , , , , , , , , , 
Coverage_Liaiblity (1), , , , , , , , , , , , , , , 
PolicySizeFactor, , , , , , , , , , 1.0, ←, , 1, , 1
ContentOnlyFactor, , , , , , , , , , 1.0, ←, , 1, , 1
RateFactor, , , , , , , , , , 1.0, ←, , 1, , 1
AcreageFactor, , , , , , , , , , 1.0, ←, , 1, , 1
AcreageFactor, , , , , , , , , , 2.6270000000, ←, , table:Acreage.Liability, , "(4, <<1520,1520>>, Cov A) = 2.627"
ContentOnlyFactor, , , , , , , , , , 1.00000000000, ←, , ContentOnlyFactor, , 1
, CONTINUE, , , , , , , , , , ×, , table:Utility.Liability, , "(4, null, null, null) = 1"
IFactor, , , , , , , , , , 0.0, ←, , 0, , 0
OFactor, , , , , , , , , , 0.0, ←, , 0, , 0
ADFactor, , , , , , , , , , 0.0, ←, , 0, , 0
NFactor, , , , , , , , , , 0.0, ←, , 0, , 0
QFactor, , , , , , , , , , 0.0, ←, , 0, , 0
JFactor, , , , , , , , , , 0.0, ←, , 0, , 0
KFactor, , , , , , , , , , 0.0, ←, , 0, , 0
MFactor, , , , , , , , , , 0.0, ←, , 0, , 0
SmartCameraFactor, , , , , , , , , , 0.0, ←, , 0, , 0
SmartSmokeAlarmFactor, , , , , , , , , , 0.0, ←, , 0, , 0
SmartLightFactor, , , , , , , , , , 0.0, ←, , 0, , 0
AutTempDetFactor, , , , , , , , , , 0.0, ←, , 0, , 0
WaterLeakgDetFactor, , , , , , , , , , 0.0, ←, , 0, , 0
GasLeakgDetFactor, , , , , , , , , , 0.0, ←, , 0, , 0
GeneratorFactor, , , , , , , , , , 0.0, ←, , 0, , 0
CFactor, , , , , , , , , , 0.0, ←, , 0, , 0
CRFactor, , , , , , , , , , 0.0, ←, , 0, , 0
MaxCreditPerPeril, , , , , , , , , , 0.2000000000, ←, , table:ProtectiveDevices.Liability, , "(4, Max, Cov A) = 0.2"
AllDiscount, , , , , , , , , , 0.0, ←, , IFactor, , 0
, CONTINUE, , , , , , , , , , +, , JFactor, , 0
, CONTINUE, , , , , , , , , , +, , KFactor, , 0
, CONTINUE, , , , , , , , , , +, , MFactor, , 0
, CONTINUE, , , , , , , , , , +, , NFactor, , 0
, CONTINUE, , , , , , , , , , +, , OFactor, , 0
, CONTINUE, , , , , , , , , , +, , QFactor, , 0
, CONTINUE, , , , , , , , , , +, , SmartCameraFactor, , 0
, CONTINUE, , , , , , , , , , +, , SmartSmokeAlarmFactor, , 0
, CONTINUE, , , , , , , , , , +, , SmartLightFactor, , 0
, CONTINUE, , , , , , , , , , +, , AutTempDetFactor, , 0
, CONTINUE, , , , , , , , , , +, , GeneratorFactor, , 0
, CONTINUE, , , , , , , , , , +, , WaterLeakgDetFactor, , 0
, CONTINUE, , , , , , , , , , +, , GasLeakgDetFactor, , 0
, CONTINUE, , , , , , , , , , +, , ADFactor, , 0
, CONTINUE, , , , , , , , , , +, , CFactor, , 0
, CONTINUE, , , , , , , , , , +, , CRFactor, , 0
FinalFactor, , , , , , , , , , 1.0, ←, , 1, , 1
, CONTINUE, , , , , , , , , , −, , "min(AllDiscount, MaxCreditPerPeril)", , "min(0, 0.2) = 0"
BaseRate, , , , , , , , , , 187.06972182770888016000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000, ←, , table:BaseRate.Liability, , "(4, Cov A) = 48.88"
, CONTINUE, , , , , , , , , , ×, , ContentOnlyFactor, , 1
, CONTINUE, , , , , , , , , , ×, , table:Territory Relativities.Liability, , "(4, Cov A, 47527) = 0.982"
, CONTINUE, , , , , , , , , , ×, , table:Wind Hail Exclusion.Liability, , (false) = 1
, CONTINUE, , , , , , , , , , ×, , table:Distance To Coast.Liability, , "(47527, null) = 1"
, CONTINUE, , , , , , , , , , ×, , AcreageFactor, , 2.627
, CONTINUE, , , , , , , , , , ×, , table:Farm_Type.Liability, , "(4, Dairy, Cov A) = 1.1"
, CONTINUE, , , , , , , , , , ×, , table:Credit.Liability, , "(4, <<998,998>>, Cov A) = 1.067"
, CONTINUE, , , , , , , , , , ×, , table:Protection Class.Liability, , "(4, 8, Cov A) = 0.91"
, CONTINUE, , , , , , , , , , ×, , table:Miles To Fire Department.Liability, , "(4, Within5miles, Cov A) = 1"
, CONTINUE, , , , , , , , , , ×, , table:Construction Materials for All.Liability, , "(4, Cov A, null) = 1"
, CONTINUE, , , , , , , , , , ×, , table:Farming Claims Factor.Liability, , "(4, <<1000,1000>>, Cov A, 0, 0, 0, 0, 0, 0, 0, 0) = 1"
, CONTINUE, , , , , , , , , , ×, , table:Dwelling_Age.Liability, , "(4, false, null) = 1"
, CONTINUE, , , , , , , , , , ×, , table:Dwelling Year Built Factor.Liability, , "(4, false, 1, null) = 1"
, CONTINUE, , , , , , , , , , ×, , table:AoR.Liability, , "(4, Cov A, 1, null, null, false, false) = 1"
, CONTINUE, , , , , , , , , , ×, , table:RoofShape.Liability, , "(4, null, false) = 1"
, CONTINUE, , , , , , , , , , ×, , table:RoofExclusion.Liability, , "(4, Cov A, false) = 1"
, CONTINUE, , , , , , , , , , ×, , table:MultipolicyDiscount.Liability, , "(4, false, false, false, false, false, false) = 1"
, CONTINUE, , , , , , , , , , ×, , table:Fortified.Liability, , "(4, null) = 1"
, CONTINUE, , , , , , , , , , ×, , RateFactor, , 1
, CONTINUE, , , , , , , , , , ×, , FinalFactor, , 1
, CONTINUE, , , , , , , , , , ×, , PolicySizeFactor, , 1
, CONTINUE, , , , , , , , , , ×, , CoverageInfo.CovModLimit, , 1.389
